,HPhylomeDB|P00395,EggNOG|COG0843,HOGENOM|NA,HOVERGEN|HBG003841,OMA|FHGLASM,KO|K02256
A4KWD1,,,,A4KWD1_ONCMA,,
A4KWW6,,,,A4KWW6_ONCKI,,
A4KZ76,,,,A4KZ76_RANPL,,
A4L9R8,,,,A4L9R8_9SAUR,,
A4LBA4,,,,A4LBA4_ACALA,,
A4QGS3,,A4QGS3_CORGB,,,,
A4QIK1,,,,A4QIK1_9TELE,,
A4QIL4,,,,A4QIL4_LUVIM,,
A4QIM7,,,,A4QIM7_ZANCO,,
A4QIP0,,,,A4QIP0_9TELE,,
A4QIQ3,,,,A4QIQ3_SPIMA,,
A4QIR6,,,,A4QIR6_LETOB,,
A4QIS9,,,,A4QIS9_MONGN,,
A4QIU2,,,,A4QIU2_DIAPI,,
A4QIV5,,,,A4QIV5_9TELE,,
A4QIW8,,,,A4QIW8_9TELE,,
A4QIY1,,,,A4QIY1_9TELE,,
A4QIZ4,,,,A4QIZ4_MACUR,,
A4QJ07,,,,A4QJ07_TRIAM,,
A4QJ20,,,,A4QJ20_TRIWB,,
A4QJ33,,,,A4QJ33_TRIBT,,
A4QJ46,,,,A4QJ46_9TELE,,
A4QJ59,,,,A4QJ59_9TELE,,
A4QJ72,,,,A4QJ72_DIOHO,,
A4QJ85,,,,A4QJ85_DOEBE,,
A4SPZ1,,A4SPZ1_AERS4,,,,
A4T087,,A4T087_POLSQ,,,,
A4T208,,A4T208_MYCGI,,,,
A4T6B2,,A4T6B2_MYCGI,,,,
A4TDW8,,A4TDW8_MYCGI,,,,
A4TPF0,,A4TPF0_YERPP,,,,
A4U8V6,,,,A4U8V6_MELMN,,
A4U8V7,,,,A4U8V7_MELMN,,
A4U8W8,,,,A4U8W8_MELFA,,
A4U8Y7,,,,A4U8Y7_MELFA,,
A4UAI9,,,,A4UAI9_OPLFA,,
A4UII0,,,,A4UII0_9LABR,,
A4UMT5,,,,A4UMT5_ONCGO,,
A4UMU8,,,,A4UMU8_9AVES,,
A4UUZ8,,,,A4UUZ8_LUTRU,,
A4VKM3,,A4VKM3_PSEU5,,,,
A4VS35,,A4VS35_PSEU5,,,A4VS35_PSEU5,
A4W7A2,,A4W7A2_ENT38,,,,
A4WQA6,,A4WQA6_RHOS5,,,,
A4WYS3,,A4WYS3_RHOS5,,,,
A4X3W5,,A4X3W5_SALTO,,,,
A4X6U4,,A4X6U4_SALTO,,,,
A4XNK1,,A4XNK1_PSEMY,,,,
A4XUK9,,A4XUK9_PSEMY,,,,
A4YC07,,A4YC07_SHEPC,,,,
A4YC82,,A4YC82_SHEPC,,,,
A4YDG5,,A4YDG5_METS5,,,,
A4YDJ9,,A4YDJ9_METS5,,,,
A4YE09,,A4YE09_METS5,,,,
A4YE10,,A4YE10_METS5,,,,
A4YE93,,A4YE93_METS5,,,,
A4YIC0,,A4YIC0_METS5,,,,
A4YNX1,,A4YNX1_BRASO,,,,
A4YQB9,,A4YQB9_BRASO,,,,
A4YXG6,,A4YXG6_BRASO,,,,
A4Z2D3,,A4Z2D3_BRASO,,,A4Z2D3_BRASO,
A4ZEV8,,,,A4ZEV8_9NEOB,,
A4ZH76,,,,,,A4ZH76_PHYSO
A4ZHG4,,,,A4ZHG4_9NEOB,,
A4ZIK8,,,,A4ZIK8_9SAUR,,
A4ZIK9,,,,A4ZIK9_9SAUR,,
A4ZIL0,,,,A4ZIL0_9SAUR,,
A4ZIL3,,,,A4ZIL3_9SAUR,,
A4ZIL4,,,,A4ZIL4_9SAUR,,
A4ZIL5,,,,A4ZIL5_9SAUR,,
A4ZIL6,,,,A4ZIL6_9SAUR,,
A4ZIL7,,,,A4ZIL7_9SAUR,,
A4ZIL8,,,,A4ZIL8_9SAUR,,
A4ZIL9,,,,A4ZIL9_9SAUR,,
A4ZIM0,,,,A4ZIM0_9SAUR,,
A4ZIM1,,,,A4ZIM1_9SAUR,,
A4ZIM2,,,,A4ZIM2_9SAUR,,
A4ZIM5,,,,A4ZIM5_9SAUR,,
A4ZIM7,,,,A4ZIM7_9SAUR,,
A4ZIM9,,,,A4ZIM9_9SAUR,,
A4ZIN0,,,,A4ZIN0_9SAUR,,
A4ZIN1,,,,A4ZIN1_9SAUR,,
A4ZIN5,,,,A4ZIN5_9SAUR,,
A4ZIN6,,,,A4ZIN6_9SAUR,,
A4ZIN7,,,,A4ZIN7_9SAUR,,
A4ZIN9,,,,A4ZIN9_9SAUR,,
A4ZIP0,,,,A4ZIP0_9SAUR,,
A4ZIP1,,,,A4ZIP1_9SAUR,,
A4ZIP2,,,,A4ZIP2_9SAUR,,
A4ZIP3,,,,A4ZIP3_9SAUR,,
A4ZIP4,,,,A4ZIP4_9SAUR,,
A4ZIQ0,,,,A4ZIQ0_9SAUR,,
A4ZIQ1,,,,A4ZIQ1_9SAUR,,
A4ZIQ2,,,,A4ZIQ2_9SAUR,,
A4ZIQ5,,,,A4ZIQ5_9SAUR,,
A4ZL80,,,,A4ZL80_HUMAN,,
A4ZLB9,,,,A4ZLB9_HUMAN,,
A4ZPJ1,,,,A4ZPJ1_9TELE,,
A4ZPJ7,,,,A4ZPJ7_9TELE,,
A4ZPJ9,,,,A4ZPJ9_9TELE,,
A4ZPL4,,,,A4ZPL4_ZOAVI,,
A4ZPL5,,,,A4ZPL5_ZOAVI,,
